Date facture;Fournisseur;N° facture;TTC;Statut;Date banque;Détail banque
10/03/2026;TA Provence Languedoc (Pomona);8481198915;185,60;rapprochee (groupe);20/03/2026;groupe 608.86
12/03/2026;J'OCEANE SAS;F26-080169;185,25;rapprochee (n°);31/03/2026;1536.81
12/03/2026;TA Provence Languedoc (Pomona);8481200328;204,78;rapprochee (groupe);31/03/2026;groupe 438.30
14/03/2026;J'OCEANE SAS;F26-083367;399,51;rapprochee (n°);31/03/2026;1536.81
17/03/2026;FOODEX SAS;25857653;928,60;non trouvee;;
17/03/2026;J'OCEANE SAS;F26-085267;430,17;rapprochee (n°);15/04/2026;3134.46
18/03/2026;TA Provence Languedoc (Pomona);8481203999;233,52;rapprochee (groupe);31/03/2026;groupe 438.30
19/03/2026;J'OCEANE SAS;F26-089001;208,47;rapprochee (n°);15/04/2026;3134.46
20/03/2026;COMPTOIRS OCEANIQUES;947491;829,00;rapprochee (montant);20/04/2026;829.00
21/03/2026;J'OCEANE SAS;F26-091938;428,96;rapprochee (n°);15/04/2026;3134.46
23/03/2026;METRO France;0/0(146)0054/007872;550,03;rapprochee (montant);02/04/2026;550.03
24/03/2026;J'OCEANE SAS;F26-093957;603,59;rapprochee (n°);15/04/2026;3134.46
24/03/2026;TA Provence Languedoc (Pomona);8481207773;210,94;rapprochee (groupe);10/04/2026;groupe 417.15
25/03/2026;FOODEX SAS;25860365;359,02;non trouvee;;
25/03/2026;FOODEX SAS;25859984;618,11;non trouvee;;
26/03/2026;J'OCEANE SAS;F26-097261;463,16;rapprochee (n°);15/04/2026;3134.46
27/03/2026;TA Provence Languedoc (Pomona);8481210464;206,21;rapprochee (groupe);10/04/2026;groupe 417.15
28/03/2026;J'OCEANE SAS;F26-100645;603,89;rapprochee (n°);15/04/2026;3134.46
28/03/2026;METRO France;0/0(134)0055/015173;33,98;non trouvee;;
31/03/2026;ALPES DETERGENTS;213915;275,98;rapprochee (montant);16/04/2026;275.98
31/03/2026;Bimpli (Swile);269000F8QV;4,32;non trouvee;;
31/03/2026;FOODEX SAS;25861520;946,20;non trouvee;;
31/03/2026;J'OCEANE SAS;F26-102816;396,22;rapprochee (n°);15/04/2026;3134.46
31/03/2026;LYF SAS;LYF260400000517;417,60;non trouvee;;
31/03/2026;PAK Emballages;202681172;867,96;rapprochee (n°);30/04/2026;867.96
31/03/2026;Too Good To Go France;910574;58,01;non trouvee;;
31/03/2026;BULLETIN PAIE - BALDE Aly;;;paie (-> VIR SALAIRE);;
31/03/2026;BULLETIN PAIE - AHMOD Mohammed;;;paie (-> VIR SALAIRE);;
31/03/2026;BULLETIN PAIE - LAOUADI Kyan;;;paie (-> VIR SALAIRE);;
31/03/2026;BULLETIN PAIE - HASAN Mehidi;;;paie (-> VIR SALAIRE);;
31/03/2026;BULLETIN PAIE - HOSSAIN Sakhawat;;;paie (-> VIR SALAIRE);;
31/03/2026;BULLETIN PAIE - MESSAOUDENE Amine;;753,26;paie (-> VIR SALAIRE);;
31/03/2026;BULLETIN PAIE - AGYEMANG Aaron Gyamfi;;;paie (-> VIR SALAIRE);;
01/04/2026;APITIC;FC\_2026\_1675;358,80;non trouvee;;
01/04/2026;Combo - Snapshift SAS;363396;155,40;rapprochee (montant);07/04/2026;155.40
02/04/2026;J'OCEANE SAS RUNGIS;F26-106193;402,40;rapprochee (groupe);30/04/2026;groupe 2442.58
02/04/2026;TA Provence Languedoc (Pomona);8481214435;300,77;rapprochee (groupe);20/04/2026;groupe 818.89
04/04/2026;J'OCEANE SAS;F26-109920;693,45;rapprochee (groupe);30/04/2026;groupe 2442.58
04/04/2026;TA Provence Languedoc (Pomona);8481216391;225,84;rapprochee (groupe);20/04/2026;groupe 818.89
06/04/2026;ENGIE;320008264350;818,18;rapprochee (montant);21/04/2026;818.18
06/04/2026;METRO France;0/0(146)0057/003633;497,11;rapprochee (montant);16/04/2026;497.11
07/04/2026;FOODEX SAS;25863874;714,90;non trouvee;;
07/04/2026;FOODEX SAS;25863873;481,92;non trouvee;;
08/04/2026;J'OCEANE SAS;F26-112121;389,11;rapprochee (groupe);30/04/2026;groupe 2442.58
09/04/2026;CQFD EXPERTISE;25962;;non trouvee;;
09/04/2026;TA Provence Languedoc (Pomona);8481218726;292,28;rapprochee (groupe);20/04/2026;groupe 818.89
10/04/2026;COMPTOIRS OCEANIQUES;951555;484,78;non trouvee;;
10/04/2026;SAS ESF - EAT SUSHI;F-2026040159;;non trouvee;;
11/04/2026;J'OCEANE SAS;F26-118482;583,26;rapprochee (groupe);30/04/2026;groupe 2442.58
11/04/2026;TA Provence Languedoc (Pomona);8481220655;150,55;rapprochee (groupe);30/04/2026;groupe 733.63
14/04/2026;J'OCEANE SAS;F26-119856;374,36;rapprochee (groupe);30/04/2026;groupe 2442.58
14/04/2026;TA Provence Languedoc (Pomona);8481222058;271,97;rapprochee (groupe);30/04/2026;groupe 733.63
15/04/2026;ALPES DETERGENTS;214568;147,46;non trouvee;;
15/04/2026;Dokaa;F-2026-04620;463,80;non trouvee;;
16/04/2026;J'OCEANE SAS;F26-123302;185,45;non trouvee;;
16/04/2026;KEYYO S.A.;1504067518;74,32;rapprochee (montant);21/04/2026;74.32
18/04/2026;J'OCEANE SAS;F26-127564;663,74;non trouvee;;
18/04/2026;TA Provence Languedoc (Pomona);8481225543;311,11;rapprochee (groupe);30/04/2026;groupe 733.63
20/04/2026;METRO France;0/0(146)0057/005056;392,57;rapprochee (montant);30/04/2026;392.57
21/04/2026;GRENKE LOCATION S.A.S.;0000948779/2026;83,23;non trouvee;;
21/04/2026;J'OCEANE SAS;F26-129543;167,56;non trouvee;;
21/04/2026;TA Provence Languedoc (Pomona);8481226939;207,58;non trouvee;;
23/04/2026;TA Provence Languedoc (Pomona);8481228562;240,72;non trouvee;;
25/04/2026;J'OCEANE SAS;F26-136241;518,36;non trouvee;;
25/04/2026;METRO France;0/0(146)0052/019646;82,57;non trouvee;;
26/04/2026;EDF;10250820099;92,14;non trouvee;;
28/04/2026;FOODEX SAS;25868746;956,41;non trouvee;;
28/04/2026;J OCEANE SAS;F26-137466;343,33;non trouvee;;
28/04/2026;TA Provence Languedoc (Pomona);8481231690;151,30;non trouvee;;
28/04/2026;TILIZ;FC2600961;284,85;non trouvee;;
29/04/2026;CHATEAU SAINT JEAN;FA260319;439,13;non trouvee;;
29/04/2026;METRO France;0/0(146)0057/006290;376,67;non trouvee;;
30/04/2026;ALPES DETERGENTS;215552;250,46;non trouvee;;
30/04/2026;ALPES DETERGENTS;215501;207,10;non trouvee;;
30/04/2026;PAK Emballages;202681884;269,42;non trouvee;;
30/04/2026;PAK Emballages;202681883;741,40;non trouvee;;
30/04/2026;PAK Emballages;202681882;359,14;non trouvee;;
30/04/2026;SAS Too Good To Go France;926268;74,48;non trouvee;;
30/04/2026;TA Provence Languedoc (Pomona);8481233407;295,52;non trouvee;;
30/04/2026;BULLETIN PAIE - LAOUADI Kyan;;;paie (-> VIR SALAIRE);;
30/04/2026;BULLETIN PAIE - HOSSAIN Sakhawat;;;paie (-> VIR SALAIRE);;
30/04/2026;BULLETIN PAIE - MESSAOUDENE Amine;;742,23;paie (-> VIR SALAIRE);;
30/04/2026;BULLETIN PAIE - BALDE ALY;;;paie (-> VIR SALAIRE);;
30/04/2026;BULLETIN PAIE - HASAN Mehidi;;;paie (-> VIR SALAIRE);;
30/04/2026;BULLETIN PAIE - AHMOD Mohammed;;;paie (-> VIR SALAIRE);;
30/04/2026;BULLETIN PAIE - AGYEMANG Aaron Gyamfi;;;paie (-> VIR SALAIRE);;
01/05/2026;VERISURE;SDCF62391362;69,22;hors periode (mai);;
01/05/2026;Combo - Snapshift SAS;371738;155,40;hors periode (mai);;
01/05/2026;WALLBOX FRANCE SAS;EBRN202600047250;49,00;hors periode (mai);;
02/05/2026;J'OCEANE SAS;F26-144811;267,18;hors periode (mai);;
02/05/2026;J'OCEANE SAS;F26-143145;540,56;hors periode (mai);;
04/05/2026;APITIC;FC\_2026\_2156;358,80;hors periode (mai);;
04/05/2026;ENGIE;820000796733;542,54;hors periode (mai);;
04/05/2026;SAS ESF - EAT SUSHI;F-2026050203;;hors periode (mai);;
05/05/2026;FOODEX SAS;25871441;792,55;hors periode (mai);;
05/05/2026;J OCEANE;Relevé 26091395;;hors periode (mai);;
05/05/2026;J'OCEANE SAS;F26-146897;196,56;hors periode (mai);;
05/05/2026;J'OCEANE SAS;F26-145069;191,97;hors periode (mai);;
05/05/2026;METRO France;0/0(146)0052/021168;429,16;hors periode (mai);;
05/05/2026;TA Provence Languedoc;8481236345;248,86;hors periode (mai);;
05/05/2026;Groupon France;GRPFR2026040000040098;7,97;hors periode (mai);;
05/05/2026;Groupon France;GRPFR2026040000044372;18,01;hors periode (mai);;
07/05/2026;J'OCEANE SAS;F26-148485;379,49;hors periode (mai);;
09/05/2026;CQFD EXPERTISE;26260;976,80;hors periode (mai);;
09/05/2026;J'OCEANE SAS;F26-151081;579,13;hors periode (mai);;
11/05/2026;Sci romi;;850,00;hors periode (mai);;
12/05/2026;TA Provence Languedoc;8481240890;218,73;hors periode (mai);;
